,dates,tickers,mprice,rprice,price_diff,percentage_diff
1,2021-06-13,BBCP,8.37,8.645,0.275,3.286
2,2021-06-13,CODA,8.925,8.945,0.02,0.226
3,2021-06-13,DMTRF,2.381,3.702,1.321,55.467
4,2021-06-13,FLES,1.95,1.987,0.037,1.88
6,2021-06-13,HEXO,5.75,5.81,0.06,1.043
7,2021-06-13,IGC,1.5,1.88,0.38,25.333
8,2021-06-13,JVA,5.36,5.42,0.06,1.119
9,2021-06-13,MIXT,14.36,16.697,2.337,16.272
10,2021-06-13,MJDLF,6.91,7.005,0.095,1.375
11,2021-06-13,MMMB,2.55,2.57,0.02,0.784
12,2021-06-13,MPAA,22.78,23.053,0.273,1.2
14,2021-06-13,NTRB,11.0,11.847,0.847,7.697
15,2021-06-13,OCC,3.63,3.87,0.24,6.612
17,2021-06-13,PKCOF,14.48,14.48,0.0,0.0
18,2021-06-13,RFIL,7.45,7.493,0.043,0.582
20,2021-06-13,TALS,13.35,14.677,1.327,9.938
21,2021-06-13,VACC,14.29,17.053,2.763,19.335
22,2021-06-13,ZRSEF,362.0,362.0,0.0,0.0
23,2021-06-14,ADWPF,7.63,7.71,0.08,1.048
24,2021-06-14,ASHTF,69.3,74.78,5.48,7.908
25,2021-06-14,ATEX,50.5,60.345,9.845,19.495
26,2021-06-14,AZRE,23.09,27.605,4.515,19.554
27,2021-06-14,DTEA,4.299,4.386,0.087,2.031
29,2021-06-14,FGPR,15.75,25.06,9.31,59.111
30,2021-06-14,FRHC,61.27,66.427,5.157,8.416
31,2021-06-14,HRB,23.51,23.98,0.47,1.999
32,2021-06-14,LZB,36.91,38.01,1.1,2.98
34,2021-06-14,ONVO,8.52,9.45,0.93,10.915
36,2021-06-14,ORCL,76.91,80.94,4.03,5.24
39,2021-06-14,QD,2.32,2.43,0.11,4.741
40,2021-06-14,RFL,45.89,57.475,11.585,25.245
41,2021-06-14,STEP,32.1,35.03,2.93,9.128
42,2021-06-14,VOLT,4.02,4.81,0.79,19.652
44,2021-06-15,BYSI,10.8,10.84,0.04,0.37
45,2021-06-15,CLIR,4.78,4.95,0.17,3.556
46,2021-06-15,CNIKF,2.743,3.0,0.257,9.369
47,2021-06-15,CNTG,10.09,10.855,0.765,7.582
48,2021-06-15,CULP,16.36,16.42,0.06,0.367
49,2021-06-15,HNST,15.25,15.997,0.747,4.896
51,2021-06-15,LEN,93.11,102.31,9.2,9.881
52,2021-06-15,LEN-B,74.3,83.725,9.425,12.685
53,2021-06-15,MEDXF,5.757,6.043,0.286,4.974
54,2021-06-15,MTPTF,3.988,4.9,0.912,22.869
55,2021-06-16,ADBE,552.72,591.367,38.647,6.992
56,2021-06-16,CMC,30.66,31.36,0.7,2.283
57,2021-06-16,DLNG,3.18,3.54,0.36,11.321
59,2021-06-16,EVTZF,11.62,11.653,0.033,0.287
60,2021-06-16,FSBC,24.71,24.957,0.248,1.002
62,2021-06-16,JBL,56.94,58.46,1.52,2.669
63,2021-06-16,KR,38.53,38.793,0.263,0.683
64,2021-06-16,MANU,15.23,15.365,0.135,0.886
65,2021-06-16,PGR,92.48,99.36,6.88,7.439
66,2021-06-16,SWBI,20.5,37.255,16.755,81.732
67,2021-06-16,XYF,9.4,13.603,4.203,44.716
68,2021-06-17,CNGO,23.0,23.0,0.0,0.0
69,2021-06-17,LWAY,5.24,5.925,0.685,13.073
70,2021-06-17,MPX,15.74,16.325,0.585,3.717
71,2021-06-17,QEPC,28.22,29.27,1.05,3.721
73,2021-06-18,GLBS,3.86,3.893,0.033,0.864
74,2021-06-20,ANEB,6.91,6.997,0.087,1.259
76,2021-06-20,CRKN,4.45,4.535,0.085,1.91
78,2021-06-20,NAPRF,206.65,210.947,4.297,2.079
79,2021-06-20,OGN,29.87,31.18,1.31,4.386
82,2021-06-21,CGNT,23.04,24.603,1.563,6.785
83,2021-06-21,EBF,21.32,21.597,0.277,1.298
85,2021-06-21,JRSH,6.4,7.205,0.805,12.578
87,2021-06-21,KFY,71.49,73.43,1.94,2.714
88,2021-06-21,PLUG,33.53,34.507,0.977,2.913
90,2021-06-21,SKIL,9.91,10.17,0.26,2.624
91,2021-06-21,TEF,4.7,4.725,0.025,0.532
92,2021-06-21,TSUSF,117.55,117.55,0.0,0.0
93,2021-06-22,ANFIF,1.71,1.923,0.213,12.476
95,2021-06-22,CCM,2.95,2.977,0.027,0.904
97,2021-06-22,CNXC,155.0,162.77,7.77,5.013
98,2021-06-22,EH,40.397,43.46,3.063,7.582
99,2021-06-22,ELLO,30.74,31.66,0.92,2.993
100,2021-06-22,FFHL,9.3,13.81,4.51,48.495
101,2021-06-22,FUL,63.91,64.83,0.92,1.44
102,2021-06-22,GHG,11.2,11.405,0.205,1.83
103,2021-06-22,INFO,111.78,113.865,2.085,1.865
104,2021-06-22,KBH,40.66,41.99,1.33,3.271
105,2021-06-22,KEGX,4.32,4.617,0.297,6.867
106,2021-06-22,KYN,8.74,8.985,0.245,2.803
108,2021-06-22,NFH,11.15,11.357,0.207,1.854
109,2021-06-22,PDCO,30.49,31.035,0.545,1.787
111,2021-06-22,RYB,3.91,4.467,0.557,14.237
112,2021-06-22,SCS,14.75,15.2,0.45,3.051
113,2021-06-22,SFUN,11.66,11.855,0.195,1.672
114,2021-06-22,SQBG,8.62,16.95,8.33,96.636
115,2021-06-22,TY,33.94,34.3,0.36,1.061
116,2021-06-22,URPTF,4.45,4.56,0.11,2.472
117,2021-06-22,WGO,67.64,70.875,3.235,4.783
118,2021-06-22,WOR,59.88,61.85,1.97,3.29
119,2021-06-23,EMLAF,31.31,32.025,0.715,2.284
121,2021-06-24,ACN,295.22,302.615,7.395,2.505
122,2021-06-24,AEMD,5.03,5.14,0.11,2.187
123,2021-06-24,AIH,8.15,8.297,0.147,1.8
